000000,s1_camera_offhand_1
M000796,s10_airplane_fly_1_m
000797,s10_bowl_drink_1_Retake
M000797,s10_bowl_drink_1_Retake_m
000798,s10_stamp_pass_1
M000798,s10_stamp_pass_1_m
000799,s10_cubemedium_inspect_1
M000799,s10_cubemedium_inspect_1_m
000800,s10_mug_drink_2
M000800,s10_mug_drink_2_m
000801,s10_waterbottle_pour_1
M000801,s10_waterbottle_pour_1_m
000802,s10_wineglass_drink_1
M000802,s10_wineglass_drink_1_m
000803,s10_cylindermedium_pass_1
M000803,s10_cylindermedium_pass_1_m
000804,s10_stanfordbunny_pick_all
M000804,s10_stanfordbunny_pick_all_m
000805,s10_hand_pass_1
M000805,s10_hand_pass_1_m
000806,s10_elephant_pass_1
M000806,s10_elephant_pass_1_m
000807,s10_alarmclock_see_1
M000807,s10_alarmclock_see_1_m
000808,s10_lightbulb_pass_1
M000808,s10_lightbulb_pass_1_m
000809,s10_cylinderlarge_pass_1
M000809,s10_cylinderlarge_pass_1_m
000810,s10_alarmclock_pass_1
M000810,s10_alarmclock_pass_1_m
000811,s10_camera_takepicture_1
M000811,s10_camera_takepicture_1_m
000812,s10_cubemedium_pass_1
M000812,s10_cubemedium_pass_1_m
000813,s10_flashlight_on_1
M000813,s10_flashlight_on_1_m
000814,s10_toruslarge_inspect_1
M000814,s10_toruslarge_inspect_1_m
000815,s10_cubesmall_pick_all
M000815,s10_cubesmall_pick_all_m
000816,s10_gamecontroller_pick_all
M000816,s10_gamecontroller_pick_all_m
000817,s10_phone_pass_1
M000817,s10_phone_pass_1_m
000818,s10_hammer_use_3
M000818,s10_hammer_use_3_m
000819,s10_gamecontroller_play_1
M000819,s10_gamecontroller_play_1_m
000820,s10_mouse_pick_all
M000820,s10_mouse_pick_all_m
000821,s10_stanfordbunny_inspect_1
M000821,s10_stanfordbunny_inspect_1_m
000822,s10_camera_pass_1
M000822,s10_camera_pass_1_m
000823,s10_spheresmall_pass_1
M000823,s10_spheresmall_pass_1_m
000824,s10_phone_pick_all
M000824,s10_phone_pick_all_m
000825,s10_cubelarge_inspect_1
M000825,s10_cubelarge_inspect_1_m
000826,s10_hammer_pick_all
M000826,s10_hammer_pick_all_m
000827,s10_knife_peel_1
M000827,s10_knife_peel_1_m
000828,s10_gamecontroller_pass_1
M000828,s10_gamecontroller_pass_1_m
000829,s10_spheremedium_inspect_1
M000829,s10_spheremedium_inspect_1_m
000830,s10_banana_pass_1
M000830,s10_banana_pass_1_m
000831,s10_doorknob_use_2
M000831,s10_doorknob_use_2_m
000832,s10_camera_takepicture_3
M000832,s10_camera_takepicture_3_m
000833,s10_spheremedium_pick_all
M000833,s10_spheremedium_pick_all_m
000834,s10_spherelarge_pass_1
M000834,s10_spherelarge_pass_1_m
000835,s10_fryingpan_cook_1
M000835,s10_fryingpan_cook_1_m
000836,s10_train_play_1
M000836,s10_train_play_1_m
000837,s10_banana_pick_all
M000837,s10_banana_pick_all_m
000838,s10_cubelarge_pass_1
M000838,s10_cubelarge_pass_1_m
000839,s10_toruslarge_pick_all
M000839,s10_toruslarge_pick_all_m
000840,s10_pyramidmedium_inspect_1
M000840,s10_pyramidmedium_inspect_1_m
000841,s10_spheremedium_pass_1
M000841,s10_spheremedium_pass_1_m
000842,s10_headphones_use_1
M000842,s10_headphones_use_1_m
000843,s10_headphones_pick_all
M000843,s10_headphones_pick_all_m
000844,s10_banana_peel_1
M000844,s10_banana_peel_1_m
000845,s10_cylindermedium_inspect_1
M000845,s10_cylindermedium_inspect_1_m
000846,s10_bowl_pick_all
M000846,s10_bowl_pick_all_m
000847,s10_piggybank_pass_1
M000847,s10_piggybank_pass_1_m
000848,s10_cup_drink_1
M000848,s10_cup_drink_1_m
000849,s2_piggybank_pick_all
M000849,s2_piggybank_pick_all_m
000850,s2_stapler_staple_2
M000850,s2_stapler_staple_2_m
000851,s2_pyramidlarge_inspect_1
M000851,s2_pyramidlarge_inspect_1_m
000852,s2_stamp_stamp_1
M000852,s2_stamp_stamp_1_m
000853,s2_toothpaste_squeeze_1
M000853,s2_toothpaste_squeeze_1_m
000854,s2_cylinderlarge_inspect_1
M000854,s2_cylinderlarge_inspect_1_m
000855,s2_hand_inspect_1
M000855,s2_hand_inspect_1_m
000856,s2_train_pick_all
M000856,s2_train_pick_all_m
000857,s2_spheresmall_inspect_1
M000857,s2_spheresmall_inspect_1_m
000858,s2_pyramidmedium_pass_1
M000858,s2_pyramidmedium_pass_1_m
000859,s2_toothpaste_pick_all
M000859,s2_toothpaste_pick_all_m
000860,s2_cylindersmall_pass_1
M000860,s2_cylindersmall_pass_1_m
000861,s2_eyeglasses_pass_1
M000861,s2_eyeglasses_pass_1_m
000862,s2_mug_pick_all
M000862,s2_mug_pick_all_m
000863,s2_mouse_pass_1
M000863,s2_mouse_pass_1_m
000864,s2_stanfordbunny_pass_1
M000864,s2_stanfordbunny_pass_1_m
000865,s2_stapler_staple_1
M000865,s2_stapler_staple_1_m
000866,s2_mug_pass_1
M000866,s2_mug_pass_1_m
000867,s2_phone_call_1
M000867,s2_phone_call_1_m
000868,s2_train_pass_1
M000868,s2_train_pass_1_m
000869,s2_hammer_use_2
M000869,s2_hammer_use_2_m
000870,s2_spherelarge_pick_all
M000870,s2_spherelarge_pick_all_m
000871,s2_cylindermedium_pick_all
M000871,s2_cylindermedium_pick_all_m
000872,s2_cubemedium_pick_all
M000872,s2_cubemedium_pick_all_m
000873,s2_apple_pass_1
M000873,s2_apple_pass_1_m
000874,s2_toothbrush_pick_all
M000874,s2_toothbrush_pick_all_m
000875,s2_eyeglasses_clean_1
M000875,s2_eyeglasses_clean_1_m
000876,s2_hand_pick_all
M000876,s2_hand_pick_all_m
000877,s2_mug_toast_1
M000877,s2_mug_toast_1_m
000878,s2_apple_eat_1
M000878,s2_apple_eat_1_m
000879,s2_cubesmall_inspect_1
M000879,s2_cubesmall_inspect_1_m
000880,s2_mug_drink_1
M000880,s2_mug_drink_1_m
000881,s2_headphones_pass_1
M000881,s2_headphones_pass_1_m
000882,s2_duck_inspect_1
M000882,s2_duck_inspect_1_m
000883,s2_hammer_use_1
M000883,s2_hammer_use_1_m
000884,s2_flute_pass_1
M000884,s2_flute_pass_1_m
000885,s2_cubesmall_pass_1
M000885,s2_cubesmall_pass_1_m
000886,s2_camera_browse_1
M000886,s2_camera_browse_1_m
000887,s2_pyramidlarge_pick_all
M000887,s2_pyramidlarge_pick_all_m
000888,s2_teapot_pour_2
M000888,s2_teapot_pour_2_m
000889,s2_stapler_pass_1
M000889,s2_stapler_pass_1_m
000890,s2_teapot_pick_all
M000890,s2_teapot_pick_all_m
000891,s2_fryingpan_pass_1
M000891,s2_fryingpan_pass_1_m
000892,s2_teapot_pour_1
M000892,s2_teapot_pour_1_m
000893,s2_camera_pick_all
M000893,s2_camera_pick_all_m
000894,s2_cylinderlarge_pick_all
M000894,s2_cylinderlarge_pick_all_m
000895,s2_spherelarge_inspect_1
M000895,s2_spherelarge_inspect_1_m
000896,s2_cubelarge_pick_all
M000896,s2_cubelarge_pick_all_m
000897,s2_flashlight_on_2
M000897,s2_flashlight_on_2_m
000898,s2_cup_pass_1
M000898,s2_cup_pass_1_m
000899,s2_piggybank_use_1
M000899,s2_piggybank_use_1_m
000900,s2_scissors_use_1
M000900,s2_scissors_use_1_m
000901,s2_elephant_inspect_1
M000901,s2_elephant_inspect_1_m
000902,s2_camera_takepicture_2
M000902,s2_camera_takepicture_2_m
000903,s2_banana_eat_1
M000903,s2_banana_eat_1_m
000904,s2_knife_pass_1
M000904,s2_knife_pass_1_m
000905,s2_toruslarge_pass_1
M000905,s2_toruslarge_pass_1_m
000906,s2_mouse_use_1
M000906,s2_mouse_use_1_m
000907,s2_teapot_pass_1
M000907,s2_teapot_pass_1_m
000908,s2_torussmall_pick_all
M000908,s2_torussmall_pick_all_m
000909,s2_airplane_fly_1
M000909,s2_airplane_fly_1_m
000910,s2_piggybank_pass_1_Retake
M000910,s2_piggybank_pass_1_Retake_m
000911,s2_apple_pick_all
M000911,s2_apple_pick_all_m
000912,s2_cubemedium_inspect_1
M000912,s2_cubemedium_inspect_1_m
000913,s2_mug_drink_2
M000913,s2_mug_drink_2_m
000914,s2_cylindermedium_pass_1
M000914,s2_cylindermedium_pass_1_m
000915,s2_stanfordbunny_pick_all
M000915,s2_stanfordbunny_pick_all_m
000916,s2_elephant_pass_1
M000916,s2_elephant_pass_1_m
000917,s2_cylinderlarge_pass_1
M000917,s2_cylinderlarge_pass_1_m
000918,s2_flashlight_on_1
M000918,s2_flashlight_on_1_m
000919,s2_toruslarge_inspect_1
M000919,s2_toruslarge_inspect_1_m
000920,s2_cubesmall_pick_all
M000920,s2_cubesmall_pick_all_m
000921,s2_phone_pass_1
M000921,s2_phone_pass_1_m
000922,s2_gamecontroller_play_1
M000922,s2_gamecontroller_play_1_m
000923,s2_stanfordbunny_inspect_1
M000923,s2_stanfordbunny_inspect_1_m
000924,s2_camera_pass_1
M000924,s2_camera_pass_1_m
000925,s2_cubelarge_inspect_1
M000925,s2_cubelarge_inspect_1_m
000926,s2_hammer_pick_all
M000926,s2_hammer_pick_all_m
000927,s2_gamecontroller_pass_1
M000927,s2_gamecontroller_pass_1_m
000928,s2_banana_pass_1
M000928,s2_banana_pass_1_m
000929,s2_doorknob_use_2
M000929,s2_doorknob_use_2_m
000930,s2_spherelarge_pass_1
M000930,s2_spherelarge_pass_1_m
000931,s2_train_play_1
M000931,s2_train_play_1_m
000932,s2_cubelarge_pass_1
M000932,s2_cubelarge_pass_1_m
000933,s2_toruslarge_pick_all
M000933,s2_toruslarge_pick_all_m
000934,s2_pyramidmedium_inspect_1
M000934,s2_pyramidmedium_inspect_1_m
000935,s2_spheremedium_pass_1
M000935,s2_spheremedium_pass_1_m
000936,s2_pyramidlarge_pass_1_Retake
M000936,s2_pyramidlarge_pass_1_Retake_m
000937,s2_headphones_use_1
M000937,s2_headphones_use_1_m
000938,s2_headphones_pick_all
M000938,s2_headphones_pick_all_m
000939,s2_banana_peel_1
M000939,s2_banana_peel_1_m
000940,s2_cylindermedium_inspect_1
M000940,s2_cylindermedium_inspect_1_m
000941,s2_cup_drink_1
M000941,s2_cup_drink_1_m
000942,s8_camera_offhand_1
M000942,s8_camera_offhand_1_m
000943,s8_stapler_pick_all
M000943,s8_stapler_pick_all_m
000944,s8_piggybank_pick_all
M000944,s8_piggybank_pick_all_m
000945,s8_stapler_staple_2
M000945,s8_stapler_staple_2_m
000946,s8_wineglass_drink_2
M000946,s8_wineglass_drink_2_m
000947,s8_pyramidlarge_inspect_1
M000947,s8_pyramidlarge_inspect_1_m
000948,s8_bowl_pass_1
M000948,s8_bowl_pass_1_m
000949,s8_stamp_stamp_1
M000949,s8_stamp_stamp_1_m
000950,s8_phone_offhand_1
M000950,s8_phone_offhand_1_m
000951,s8_waterbottle_pick_all
M000951,s8_waterbottle_pick_all_m
000952,s8_watch_pick_all
M000952,s8_watch_pick_all_m
000953,s8_bowl_offhand_1
M000953,s8_bowl_offhand_1_m
000954,s8_toothpaste_squeeze_1
M000954,s8_toothpaste_squeeze_1_m
000955,s8_torusmedium_pick_all
M000955,s8_torusmedium_pick_all_m
000956,s8_binoculars_see_1
M000956,s8_binoculars_see_1_m
000957,s8_cylinderlarge_inspect_1
M000957,s8_cylinderlarge_inspect_1_m
000958,s8_cylindersmall_inspect_1
M000958,s8_cylindersmall_inspect_1_m
000959,s8_hand_inspect_1
M000959,s8_hand_inspect_1_m
000960,s8_cup_offhand_1
M000960,s8_cup_offhand_1_m
000961,s8_cubemedium_offhand_1
M000961,s8_cubemedium_offhand_1_m
000962,s8_train_pick_all
M000962,s8_train_pick_all_m
000963,s8_spheresmall_inspect_1
M000963,s8_spheresmall_inspect_1_m
000964,s8_pyramidmedium_pass_1
M000964,s8_pyramidmedium_pass_1_m
000965,s8_duck_pass_1
M000965,s8_duck_pass_1_m
000966,s8_toothpaste_pass_1
M000966,s8_toothpaste_pass_1_m
000967,s8_toothpaste_pick_all
M000967,s8_toothpaste_pick_all_m
000968,s8_eyeglasses_pass_1
M000968,s8_eyeglasses_pass_1_m
000969,s8_watch_pass_1
M000969,s8_watch_pass_1_m
000970,s8_mug_pick_all
M000970,s8_mug_pick_all_m
000971,s8_mouse_pass_1
M000971,s8_mouse_pass_1_m
000972,s8_stanfordbunny_pass_1
M000972,s8_stanfordbunny_pass_1_m
000973,s8_stapler_staple_1
M000973,s8_stapler_staple_1_m
000974,s8_mug_pass_1
M000974,s8_mug_pass_1_m
000975,s8_torussmall_pass_1
M000975,s8_torussmall_pass_1_m
000976,s8_phone_call_1
M000976,s8_phone_call_1_m
000977,s8_wineglass_toast_1
M000977,s8_wineglass_toast_1_m
000978,s8_train_pass_1
M000978,s8_train_pass_1_m
000979,s8_hammer_use_2
M000979,s8_hammer_use_2_m
000980,s8_spherelarge_pick_all
M000980,s8_spherelarge_pick_all_m
000981,s8_alarmclock_pick_all
M000981,s8_alarmclock_pick_all_m
000982,s8_cylindermedium_pick_all
M000982,s8_cylindermedium_pick_all_m
000983,s8_cubemedium_pick_all
M000983,s8_cubemedium_pick_all_m
000984,s8_apple_pass_1
M000984,s8_apple_pass_1_m
000985,s8_wineglass_pick_all
M000985,s8_wineglass_pick_all_m
000986,s8_hand_pick_all
M000986,s8_hand_pick_all_m
000987,s8_doorknob_use_1
M000987,s8_doorknob_use_1_m
000988,s8_waterbottle_pass_1
M000988,s8_waterbottle_pass_1_m
000989,s8_flashlight_pass_1
M000989,s8_flashlight_pass_1_m
000990,s8_torussmall_inspect_1
M000990,s8_torussmall_inspect_1_m
000991,s8_mug_toast_1
M000991,s8_mug_toast_1_m
000992,s8_apple_eat_1
M000992,s8_apple_eat_1_m
000993,s8_banana_peel_2
M000993,s8_banana_peel_2_m
000994,s8_cubesmall_inspect_1
M000994,s8_cubesmall_inspect_1_m
000995,s8_mug_drink_1
M000995,s8_mug_drink_1_m
000996,s8_cubesmall_offhand_1
M000996,s8_cubesmall_offhand_1_m
000997,s8_headphones_pass_1
M000997,s8_headphones_pass_1_m
000998,s8_eyeglasses_wear_1
M000998,s8_eyeglasses_wear_1_m
000999,s8_cup_pour_1
M000999,s8_cup_pour_1_m
001000,s8_wineglass_pass_1
M001000,s8_wineglass_pass_1_m
001001,s8_doorknob_pick_all
M001001,s8_doorknob_pick_all_m
001002,s8_duck_inspect_1
M001002,s8_duck_inspect_1_m
001003,s8_hammer_use_1
M001003,s8_hammer_use_1_m
001004,s8_flute_pass_1
M001004,s8_flute_pass_1_m
001005,s8_airplane_pass_1
M001005,s8_airplane_pass_1_m
001006,s8_cubesmall_pass_1
M001006,s8_cubesmall_pass_1_m
001007,s8_waterbottle_drink_1
M001007,s8_waterbottle_drink_1_m
001008,s8_camera_browse_1
M001008,s8_camera_browse_1_m
001009,s8_toothpaste_squeeze_2
M001009,s8_toothpaste_squeeze_2_m
001010,s8_hammer_pass_1
M001010,s8_hammer_pass_1_m
001011,s8_binoculars_pass_1
M001011,s8_binoculars_pass_1_m
001012,s8_bowl_drink_2
M001012,s8_bowl_drink_2_m
001013,s8_fryingpan_cook_2
M001013,s8_fryingpan_cook_2_m
001014,s8_scissors_pass_1
M001014,s8_scissors_pass_1_m
001015,s8_teapot_pour_2
M001015,s8_teapot_pour_2_m
001016,s8_stapler_pass_1
M001016,s8_stapler_pass_1_m
001017,s8_teapot_pick_all
M001017,s8_teapot_pick_all_m
001018,s8_fryingpan_pass_1
M001018,s8_fryingpan_pass_1_m
001019,s8_bowl_drink_1
M001019,s8_bowl_drink_1_m
001020,s8_teapot_pour_1
M001020,s8_teapot_pour_1_m
001021,s8_torusmedium_inspect_1
M001021,s8_torusmedium_inspect_1_m
001022,s8_torusmedium_pass_1
M001022,s8_torusmedium_pass_1_m
001023,s8_cylinderlarge_offhand_1
M001023,s8_cylinderlarge_offhand_1_m
001024,s8_cylinderlarge_pick_all
M001024,s8_cylinderlarge_pick_all_m
001025,s8_spherelarge_inspect_1
M001025,s8_spherelarge_inspect_1_m
001026,s8_cubelarge_pick_all
M001026,s8_cubelarge_pick_all_m
001027,s8_duck_pick_all
M001027,s8_duck_pick_all_m
001028,s8_flashlight_on_2
M001028,s8_flashlight_on_2_m
001029,s8_flute_play_1
M001029,s8_flute_play_1_m
001030,s8_cup_pass_1
M001030,s8_cup_pass_1_m
001031,s8_piggybank_use_1
M001031,s8_piggybank_use_1_m
001032,s8_stamp_pick_all
M001032,s8_stamp_pick_all_m
001033,s8_elephant_inspect_1
M001033,s8_elephant_inspect_1_m
001034,s8_camera_takepicture_2
M001034,s8_camera_takepicture_2_m
001035,s8_banana_eat_1
M001035,s8_banana_eat_1_m
001036,s8_mug_offhand_1
M001036,s8_mug_offhand_1_m
001037,s8_knife_pass_1
M001037,s8_knife_pass_1_m
001038,s8_cubelarge_offhand_1
M001038,s8_cubelarge_offhand_1_m
001039,s8_toruslarge_pass_1
M001039,s8_toruslarge_pass_1_m
001040,s8_mouse_use_1
M001040,s8_mouse_use_1_m
001041,s8_toothbrush_brush_1
M001041,s8_toothbrush_brush_1_m
001042,s8_watch_set_2
M001042,s8_watch_set_2_m
001043,s8_knife_chop_1
M001043,s8_knife_chop_1_m
001044,s8_teapot_pass_1
M001044,s8_teapot_pass_1_m
001045,s8_pyramidlarge_pass_1
M001045,s8_pyramidlarge_pass_1_m
001046,s8_cup_pick_all
M001046,s8_cup_pick_all_m
001047,s8_airplane_fly_1
M001047,s8_airplane_fly_1_m
001048,s8_stamp_pass_1
M001048,s8_stamp_pass_1_m
001049,s8_apple_pick_all
M001049,s8_apple_pick_all_m
001050,s8_cubemedium_inspect_1
M001050,s8_cubemedium_inspect_1_m
001051,s8_mug_drink_2
M001051,s8_mug_drink_2_m
001052,s8_cylindersmall_pick_all
M001052,s8_cylindersmall_pick_all_m
001053,s8_wineglass_drink_1
M001053,s8_wineglass_drink_1_m
001054,s8_cylindermedium_pass_1
M001054,s8_cylindermedium_pass_1_m
001055,s8_stanfordbunny_pick_all
M001055,s8_stanfordbunny_pick_all_m
001056,s8_hand_pass_1
M001056,s8_hand_pass_1_m
001057,s8_elephant_pass_1
M001057,s8_elephant_pass_1_m
001058,s8_alarmclock_see_1
M001058,s8_alarmclock_see_1_m
001059,s8_lightbulb_pass_1
M001059,s8_lightbulb_pass_1_m
001060,s8_cylinderlarge_pass_1
M001060,s8_cylinderlarge_pass_1_m
001061,s8_fryingpan_cook_3
M001061,s8_fryingpan_cook_3_m
001062,s8_alarmclock_pass_1
M001062,s8_alarmclock_pass_1_m
001063,s8_cubemedium_pass_1
M001063,s8_cubemedium_pass_1_m
001064,s8_flashlight_on_1
M001064,s8_flashlight_on_1_m
001065,s8_spheresmall_pick_all
M001065,s8_spheresmall_pick_all_m
001066,s8_toruslarge_inspect_1
M001066,s8_toruslarge_inspect_1_m
001067,s8_cubesmall_pick_all
M001067,s8_cubesmall_pick_all_m
001068,s8_gamecontroller_pick_all
M001068,s8_gamecontroller_pick_all_m
001069,s8_phone_pass_1
M001069,s8_phone_pass_1_m
001070,s8_flashlight_offhand_1
M001070,s8_flashlight_offhand_1_m
001071,s8_hammer_use_3
M001071,s8_hammer_use_3_m
001072,s8_gamecontroller_play_1
M001072,s8_gamecontroller_play_1_m
001073,s8_mouse_pick_all
M001073,s8_mouse_pick_all_m
001074,s8_stanfordbunny_inspect_1
M001074,s8_stanfordbunny_inspect_1_m
001075,s8_camera_pass_1
M001075,s8_camera_pass_1_m
001076,s8_elephant_pick_all
M001076,s8_elephant_pick_all_m
001077,s8_toothbrush_pass_1
M001077,s8_toothbrush_pass_1_m
001078,s8_spheresmall_pass_1
M001078,s8_spheresmall_pass_1_m
001079,s8_phone_pick_all
M001079,s8_phone_pick_all_m
001080,s8_cubelarge_inspect_1
M001080,s8_cubelarge_inspect_1_m
001081,s8_hammer_pick_all
M001081,s8_hammer_pick_all_m
001082,s8_knife_peel_1
M001082,s8_knife_peel_1_m
001083,s8_gamecontroller_pass_1
M001083,s8_gamecontroller_pass_1_m
001084,s8_fryingpan_pick_all
M001084,s8_fryingpan_pick_all_m
001085,s8_banana_pass_1
M001085,s8_banana_pass_1_m
001086,s8_fryingpan_offhand_1
M001086,s8_fryingpan_offhand_1_m
001087,s8_doorknob_use_2
M001087,s8_doorknob_use_2_m
001088,s8_camera_takepicture_3
M001088,s8_camera_takepicture_3_m
001089,s8_spheremedium_pick_all
M001089,s8_spheremedium_pick_all_m
001090,s8_spherelarge_pass_1
M001090,s8_spherelarge_pass_1_m
001091,s8_fryingpan_cook_1
M001091,s8_fryingpan_cook_1_m
001092,s8_train_play_1
M001092,s8_train_play_1_m
001093,s8_banana_pick_all
M001093,s8_banana_pick_all_m
001094,s8_cubelarge_pass_1
M001094,s8_cubelarge_pass_1_m
001095,s8_toruslarge_pick_all
M001095,s8_toruslarge_pick_all_m
001096,s8_pyramidmedium_inspect_1
M001096,s8_pyramidmedium_inspect_1_m
001097,s8_spheremedium_pass_1
M001097,s8_spheremedium_pass_1_m
001098,s8_headphones_pick_all
M001098,s8_headphones_pick_all_m
001099,s8_banana_peel_1
M001099,s8_banana_peel_1_m
001100,s8_cylindermedium_inspect_1
M001100,s8_cylindermedium_inspect_1_m
001101,s8_bowl_pick_all
M001101,s8_bowl_pick_all_m
001102,s8_piggybank_pass_1
M001102,s8_piggybank_pass_1_m
001103,s8_cup_drink_1
M001103,s8_cup_drink_1_m
001104,s9_stapler_pick_all
M001104,s9_stapler_pick_all_m
001105,s9_pyramidmedium_pick_all_Retake
M001105,s9_pyramidmedium_pick_all_Retake_m
001106,s9_stapler_staple_2
M001106,s9_stapler_staple_2_m
001107,s9_wineglass_drink_2
M001107,s9_wineglass_drink_2_m
001108,s9_pyramidlarge_inspect_1
M001108,s9_pyramidlarge_inspect_1_m
001109,s9_bowl_pass_1
M001109,s9_bowl_pass_1_m
001110,s9_stamp_stamp_1
M001110,s9_stamp_stamp_1_m
001111,s9_waterbottle_pick_all
M001111,s9_waterbottle_pick_all_m
001112,s9_toothpaste_squeeze_1
M001112,s9_toothpaste_squeeze_1_m
001113,s9_cylinderlarge_inspect_1
M001113,s9_cylinderlarge_inspect_1_m
001114,s9_cylindersmall_inspect_1
M001114,s9_cylindersmall_inspect_1_m
001115,s9_hand_inspect_1
M001115,s9_hand_inspect_1_m
001116,s9_spheresmall_inspect_1
M001116,s9_spheresmall_inspect_1_m
001117,s9_pyramidmedium_pass_1
M001117,s9_pyramidmedium_pass_1_m
001118,s9_duck_pass_1
M001118,s9_duck_pass_1_m
001119,s9_toothpaste_pass_1
M001119,s9_toothpaste_pass_1_m
001120,s9_toothpaste_pick_all
M001120,s9_toothpaste_pick_all_m
001121,s9_cylindersmall_pass_1
M001121,s9_cylindersmall_pass_1_m
001122,s9_eyeglasses_pass_1
M001122,s9_eyeglasses_pass_1_m
001123,s9_watch_pass_1
M001123,s9_watch_pass_1_m
001124,s9_mouse_pass_1
M001124,s9_mouse_pass_1_m
001125,s9_stanfordbunny_pass_1
M001125,s9_stanfordbunny_pass_1_m
001126,s9_mug_pass_1
M001126,s9_mug_pass_1_m
001127,s9_torussmall_pass_1
M001127,s9_torussmall_pass_1_m
001128,s9_hammer_use_2
M001128,s9_hammer_use_2_m
001129,s9_alarmclock_pick_all
M001129,s9_alarmclock_pick_all_m
001130,s9_cylindermedium_pick_all
M001130,s9_cylindermedium_pick_all_m
001131,s9_eyeglasses_pick_all
M001131,s9_eyeglasses_pick_all_m
001132,s9_cubemedium_pick_all
M001132,s9_cubemedium_pick_all_m
001133,s9_apple_pass_1
M001133,s9_apple_pass_1_m
001134,s9_flashlight_pick_all
M001134,s9_flashlight_pick_all_m
001135,s9_eyeglasses_clean_1
M001135,s9_eyeglasses_clean_1_m
001136,s9_waterbottle_pass_1
M001136,s9_waterbottle_pass_1_m
001137,s9_flashlight_pass_1
M001137,s9_flashlight_pass_1_m
001138,s9_torussmall_inspect_1
M001138,s9_torussmall_inspect_1_m
001139,s9_airplane_pick_all
M001139,s9_airplane_pick_all_m
001140,s9_apple_eat_1
M001140,s9_apple_eat_1_m
001141,s9_banana_peel_2
M001141,s9_banana_peel_2_m
001142,s9_cubesmall_inspect_1
M001142,s9_cubesmall_inspect_1_m
001143,s9_eyeglasses_wear_1
M001143,s9_eyeglasses_wear_1_m
001144,s9_wineglass_pass_1
M001144,s9_wineglass_pass_1_m
001145,s9_doorknob_pick_all
M001145,s9_doorknob_pick_all_m
001146,s9_duck_inspect_1
M001146,s9_duck_inspect_1_m
001147,s9_hammer_use_1
M001147,s9_hammer_use_1_m
001148,s9_flute_pass_1
M001148,s9_flute_pass_1_m
001149,s9_airplane_pass_1
M001149,s9_airplane_pass_1_m
001150,s9_lightbulb_screw_1
M001150,s9_lightbulb_screw_1_m
001151,s9_cubesmall_pass_1
M001151,s9_cubesmall_pass_1_m
001152,s9_waterbottle_drink_1
M001152,s9_waterbottle_drink_1_m
001153,s9_camera_browse_1
M001153,s9_camera_browse_1_m
001154,s9_hammer_pass_1
M001154,s9_hammer_pass_1_m
001155,s9_binoculars_pass_1
M001155,s9_binoculars_pass_1_m
001156,s9_bowl_drink_2
M001156,s9_bowl_drink_2_m
001157,s9_teapot_pour_2
M001157,s9_teapot_pour_2_m
001158,s9_stapler_pass_1
M001158,s9_stapler_pass_1_m
001159,s9_bowl_drink_1
M001159,s9_bowl_drink_1_m
001160,s9_torusmedium_inspect_1
M001160,s9_torusmedium_inspect_1_m
001161,s9_camera_pick_all
M001161,s9_camera_pick_all_m
001162,s9_torusmedium_pass_1
M001162,s9_torusmedium_pass_1_m
001163,s9_cylinderlarge_pick_all
M001163,s9_cylinderlarge_pick_all_m
001164,s9_spherelarge_inspect_1
M001164,s9_spherelarge_inspect_1_m
001165,s9_cubelarge_pick_all
M001165,s9_cubelarge_pick_all_m
001166,s9_duck_pick_all
M001166,s9_duck_pick_all_m
001167,s9_flute_play_1
M001167,s9_flute_play_1_m
001168,s9_cup_pass_1
M001168,s9_cup_pass_1_m
001169,s9_piggybank_use_1
M001169,s9_piggybank_use_1_m
001170,s9_stamp_pick_all
M001170,s9_stamp_pick_all_m
001171,s9_elephant_inspect_1
M001171,s9_elephant_inspect_1_m
001172,s9_banana_eat_1
M001172,s9_banana_eat_1_m
001173,s9_hand_shake_1
M001173,s9_hand_shake_1_m
001174,s9_knife_pass_1
M001174,s9_knife_pass_1_m
001175,s9_watch_set_1
M001175,s9_watch_set_1_m
001176,s9_mouse_use_1
M001176,s9_mouse_use_1_m
001177,s9_watch_set_2
M001177,s9_watch_set_2_m
001178,s9_teapot_pass_1
M001178,s9_teapot_pass_1_m
001179,s9_pyramidlarge_pass_1
M001179,s9_pyramidlarge_pass_1_m
001180,s9_torussmall_pick_all
M001180,s9_torussmall_pick_all_m
001181,s9_cup_pick_all
M001181,s9_cup_pick_all_m
001182,s9_airplane_fly_1
M001182,s9_airplane_fly_1_m
001183,s9_stamp_pass_1
M001183,s9_stamp_pass_1_m
001184,s9_apple_pick_all
M001184,s9_apple_pick_all_m
001185,s9_cubemedium_inspect_1
M001185,s9_cubemedium_inspect_1_m
001186,s9_mug_drink_2
M001186,s9_mug_drink_2_m
001187,s9_waterbottle_pour_1
M001187,s9_waterbottle_pour_1_m
001188,s9_wineglass_drink_1
M001188,s9_wineglass_drink_1_m
001189,s9_cylindermedium_pass_1
M001189,s9_cylindermedium_pass_1_m
001190,s9_waterbottle_open_1
M001190,s9_waterbottle_open_1_m
001191,s9_hand_pass_1
M001191,s9_hand_pass_1_m
001192,s9_elephant_pass_1
M001192,s9_elephant_pass_1_m
001193,s9_alarmclock_see_1
M001193,s9_alarmclock_see_1_m
001194,s9_lightbulb_pass_1
M001194,s9_lightbulb_pass_1_m
